first_name	middle_name	last_name	employee_id	other_id	driver's_license_no	license_expiry_date	gender	marital_status	nationality	date_of_birth	address_street_1	address_street_2	city	state/province	zip/postal_code	country	home_telephone	mobile	work_telephone	work_email	other_email
Ricardo	Antonio	González	1001	PTI-001	MTY123456	2025-03-15	Male	Married	Mexican	1975-03-15	Av. Constitución 2450	Colonia Obrera	Monterrey	Nuevo León	64000	Mexico	+52 81 8350 1000	+52 81 1234 5001	+52 81 8350 1001	ricardo.gonzalez@portosinternational.com	
María	Elena	Hernández	1002	PTI-002	MTY234567	2025-07-22	Female	Single	Mexican	1982-07-22	Calle Morelos 1234	Centro	Monterrey	Nuevo León	64000	Mexico	+52 81 8350 2000	+52 81 1234 5002	+52 81 8350 2001	maria.hernandez@portosinternational.com	
Carlos	Javier	López	1003	PTI-003	MTY345678	2025-11-08	Male	Married	Mexican	1985-11-08	Av. Universidad 567	Mitras Centro	Monterrey	Nuevo León	64460	Mexico	+52 81 8350 2000	+52 81 1234 5003	+52 81 8350 2002	carlos.lopez@portosinternational.com	
Ana	Sofía	Martínez	1004	PTI-004	MTY456789	2025-02-14	Female	Married	Mexican	1988-02-14	Calle Hidalgo 890	Barrio Antiguo	Monterrey	Nuevo León	64000	Mexico	+52 81 8350 3000	+52 81 1234 5004	+52 81 8350 3001	ana.martinez@portosinternational.com	
Luis	Fernando	Rodríguez	1005	PTI-005	MTY567890	2025-09-30	Male	Single	Mexican	1983-09-30	Av. Revolución 234	Obrera	Monterrey	Nuevo León	64040	Mexico	+52 81 8350 3000	+52 81 1234 5005	+52 81 8350 3002	luis.rodriguez@portosinternational.com	
Patricia	Isabel	García	1006	PTI-006	MTY678901	2025-06-18	Female	Single	Mexican	1990-06-18	Calle Allende 456	Centro	Monterrey	Nuevo León	64000	Mexico	+52 81 8350 4000	+52 81 1234 5006	+52 81 8350 4001	patricia.garcia@portosinternational.com	
Miguel	Ángel	Sánchez	1007	PTI-007	MTY789012	2025-12-05	Male	Married	Mexican	1986-12-05	Av. Lincoln 789	Mitras Norte	Monterrey	Nuevo León	64420	Mexico	+52 81 8350 4000	+52 81 1234 5007	+52 81 8350 4002	miguel.sanchez@portosinternational.com	
Laura	Beatriz	Ramírez	1008	PTI-008	MTY890123	2025-04-27	Female	Married	Mexican	1984-04-27	Calle Zaragoza 123	Barrio Estrella	Monterrey	Nuevo León	64108	Mexico	+52 81 8350 5000	+52 81 1234 5008	+52 81 8350 5001	laura.ramirez@portosinternational.com	
Alejandro	Daniel	Torres	1009	PTI-009	MTY901234	2025-10-12	Male	Single	Mexican	1981-10-12	Av. Madero 678	Centro	Monterrey	Nuevo León	64000	Mexico	+52 81 8350 5000	+52 81 1234 5009	+52 81 8350 5002	alejandro.torres@portosinternational.com	
Carmen	Rosa	Flores	1010	PTI-010	MTY012345	2025-08-03	Female	Married	Mexican	1987-08-03	Calle Juárez 345	Obrera	Monterrey	Nuevo León	64040	Mexico	+52 81 8350 5000	+52 81 1234 5010	+52 81 8350 5003	carmen.flores@portosinternational.com	
