first_name,middle_name,last_name,employee_id,gender,marital_status,date_of_birth,joined_date,work_email
Ricardo,Antonio,González,1001,Male,Married,1975-03-15,2015-01-15,ricardo.gonzalez@portosinternational.com
María,Elena,Hernández,1002,Female,Single,1982-07-22,2018-03-10,maria.hernandez@portosinternational.com
Carlos,Javier,López,1003,Male,Married,1985-11-08,2019-05-20,carlos.lopez@portosinternational.com
Ana,Sofía,Martínez,1004,Female,Married,1988-02-14,2020-02-01,ana.martinez@portosinternational.com
Luis,Fernando,Rodríguez,1005,Male,Single,1983-09-30,2017-08-15,luis.rodriguez@portosinternational.com
Patricia,Isabel,García,1006,Female,Single,1990-06-18,2021-01-10,patricia.garcia@portosinternational.com
Miguel,Ángel,Sánchez,1007,Male,Married,1986-12-05,2019-11-25,miguel.sanchez@portosinternational.com
Laura,Beatriz,Ramírez,1008,Female,Married,1984-04-27,2016-06-01,laura.ramirez@portosinternational.com
Alejandro,Daniel,Torres,1009,Male,Single,1981-10-12,2015-09-10,alejandro.torres@portosinternational.com
Carmen,Rosa,Flores,1010,Female,Married,1987-08-03,2018-12-01,carmen.flores@portosinternational.com
