first_name,middle_name,last_name,employee_id,other_id,driver_license_no,license_expiry_date,gender,marital_status,nationality,date_of_birth,address_street_1,address_street_2,city,state_province,zip_postal_code,country,home_telephone,mobile,work_telephone,work_email,joined_date
Ricardo,Antonio,González,1001,PTI-001,MTY123456,2025-03-15,Male,Married,Mexican,1975-03-15,Av. Constitución 2450,Colonia Obrera,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 1000,+52 81 1234 5001,+52 81 8350 1001,ricardo.gonzalez@portosinternational.com,2015-01-15
María,Elena,Hernández,1002,PTI-002,MTY234567,2025-07-22,Female,Single,Mexican,1982-07-22,Calle Morelos 1234,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 2000,+52 81 1234 5002,+52 81 8350 2001,maria.hernandez@portosinternational.com,2018-03-10
Carlos,Javier,López,1003,PTI-003,MTY345678,2025-11-08,Male,Married,Mexican,1985-11-08,Av. Universidad 567,Mitras Centro,Monterrey,Nuevo León,64460,Mexico,+52 81 8350 2000,+52 81 1234 5003,+52 81 8350 2002,carlos.lopez@portosinternational.com,2019-05-20
Ana,Sofía,Martínez,1004,PTI-004,MTY456789,2025-02-14,Female,Married,Mexican,1988-02-14,Calle Hidalgo 890,Barrio Antiguo,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 3000,+52 81 1234 5004,+52 81 8350 3001,ana.martinez@portosinternational.com,2020-02-01
Luis,Fernando,Rodríguez,1005,PTI-005,MTY567890,2025-09-30,Male,Single,Mexican,1983-09-30,Av. Revolución 234,Obrera,Monterrey,Nuevo León,64040,Mexico,+52 81 8350 3000,+52 81 1234 5005,+52 81 8350 3002,luis.rodriguez@portosinternational.com,2017-08-15
Patricia,Isabel,García,1006,PTI-006,MTY678901,2025-06-18,Female,Single,Mexican,1990-06-18,Calle Allende 456,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 4000,+52 81 1234 5006,+52 81 8350 4001,patricia.garcia@portosinternational.com,2021-01-10
Miguel,Ángel,Sánchez,1007,PTI-007,MTY789012,2025-12-05,Male,Married,Mexican,1986-12-05,Av. Lincoln 789,Mitras Norte,Monterrey,Nuevo León,64420,Mexico,+52 81 8350 4000,+52 81 1234 5007,+52 81 8350 4002,miguel.sanchez@portosinternational.com,2019-11-25
Laura,Beatriz,Ramírez,1008,PTI-008,MTY890123,2025-04-27,Female,Married,Mexican,1984-04-27,Calle Zaragoza 123,Barrio Estrella,Monterrey,Nuevo León,64108,Mexico,+52 81 8350 5000,+52 81 1234 5008,+52 81 8350 5001,laura.ramirez@portosinternational.com,2016-06-01
Alejandro,Daniel,Torres,1009,PTI-009,MTY901234,2025-10-12,Male,Single,Mexican,1981-10-12,Av. Madero 678,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 5000,+52 81 1234 5009,+52 81 8350 5002,alejandro.torres@portosinternational.com,2015-09-10
Carmen,Rosa,Flores,1010,PTI-010,MTY012345,2025-08-03,Female,Married,Mexican,1987-08-03,Calle Juárez 345,Obrera,Monterrey,Nuevo León,64040,Mexico,+52 81 8350 5000,+52 81 1234 5010,+52 81 8350 5003,carmen.flores@portosinternational.com,2018-12-01
Roberto,Carlos,Morales,1011,PTI-011,MTY123450,2025-01-25,Male,Single,Mexican,1989-01-25,Av. Chapultepec 567,Residencial San Agustín,San Pedro Garza García,Nuevo León,66220,Mexico,+52 81 8350 6000,+52 81 1234 5011,+52 81 8350 6001,roberto.morales@portosinternational.com,2020-07-15
Gabriela,Monserrat,Jiménez,1012,PTI-012,MTY234501,2025-05-19,Female,Single,Mexican,1991-05-19,Calle Pino Suárez 890,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 6000,+52 81 1234 5012,+52 81 8350 6002,gabriela.jimenez@portosinternational.com,2021-03-08
Fernando,Javier,Vázquez,1013,PTI-013,MTY345012,2025-09-07,Male,Married,Mexican,1986-09-07,Av. Gonzalitos 234,Mitras Centro,Monterrey,Nuevo León,64460,Mexico,+52 81 8350 6000,+52 81 1234 5013,+52 81 8350 6003,fernando.vazquez@portosinternational.com,2019-04-20
Andrea,Lucía,Castillo,1014,PTI-014,MTY456023,2025-12-28,Female,Married,Mexican,1985-12-28,Calle Ocampo 456,Barrio Antiguo,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 7000,+52 81 1234 5014,+52 81 8350 7001,andrea.castillo@portosinternational.com,2017-01-15
Jorge,Eduardo,Mendoza,1015,PTI-015,MTY567234,2025-03-16,Male,Single,Mexican,1983-03-16,Av. Constitución 789,Obrera,Monterrey,Nuevo León,64040,Mexico,+52 81 8350 7000,+52 81 1234 5015,+52 81 8350 7002,jorge.mendoza@portosinternational.com,2016-11-10
Claudia,Alejandra,Guerrero,1016,PTI-016,MTY678345,2025-07-11,Female,Married,Mexican,1988-07-11,Calle Aramberri 123,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 8000,+52 81 1234 5016,+52 81 8350 8001,claudia.guerrero@portosinternational.com,2019-08-01
Arturo,Manuel,Ruiz,1017,PTI-017,MTY789456,2025-11-23,Male,Single,Mexican,1984-11-23,Av. Madero 567,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 8000,+52 81 1234 5017,+52 81 8350 8002,arturo.ruiz@portosinternational.com,2018-05-15
Daniela,Victoria,Ortega,1018,PTI-018,MTY890567,2025-04-09,Female,Single,Mexican,1992-04-09,Av. Universidad 890,San Nicolás de los Garza,San Nicolás,Nuevo León,66400,Mexico,+52 81 8350 9000,+52 81 1234 5018,+52 81 8350 9001,daniela.ortega@portosinternational.com,2022-01-10
David,Alberto,Silva,1019,PTI-019,MTY901678,2025-06-14,Male,Married,Mexican,1987-06-14,Calle Escobedo 234,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 9000,+52 81 1234 5019,+52 81 8350 9002,david.silva@portosinternational.com,2020-09-01
Valeria,Fernanda,Navarro,1020,PTI-020,MTY012789,2025-10-26,Female,Single,Mexican,1990-10-26,Av. Revolución 456,Obrera,Monterrey,Nuevo León,64040,Mexico,+52 81 8350 9000,+52 81 1234 5020,+52 81 8350 9003,valeria.navarro@portosinternational.com,2021-06-15
Manuel,Ricardo,Peña,1021,PTI-021,MTY123791,2025-08-12,Male,Married,Mexican,1989-08-12,Calle Reforma 789,Moderna,Monterrey,Nuevo León,64530,Mexico,+52 81 8350 4000,+52 81 1234 5021,+52 81 8350 4003,manuel.pena@portosinternational.com,2020-04-01
Mónica,Alejandra,Cruz,1022,PTI-022,MTY234802,2025-02-08,Female,Single,Mexican,1986-02-08,Av. Simón Bolívar 321,Mitras Centro,Monterrey,Nuevo León,64460,Mexico,+52 81 8350 6000,+52 81 1234 5022,+52 81 8350 6004,monica.cruz@portosinternational.com,2019-10-15
Ricardo,José,Aguilar,1023,PTI-023,MTY345913,2025-05-20,Male,Married,Mexican,1985-05-20,Calle Doctor Coss 654,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 2000,+52 81 1234 5023,+52 81 8350 2003,ricardo.aguilar@portosinternational.com,2018-07-01
Karla,Patricia,Ramos,1024,PTI-024,MTY456024,2025-09-15,Female,Single,Mexican,1991-09-15,Av. Félix U. Gómez 987,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 5000,+52 81 1234 5024,+52 81 8350 5004,karla.ramos@portosinternational.com,2021-12-01
Enrique,Javier,Moreno,1025,PTI-025,MTY567135,2025-01-30,Male,Married,Mexican,1987-01-30,Calle Washington 159,Centro,Monterrey,Nuevo León,64000,Mexico,+52 81 8350 3000,+52 81 1234 5025,+52 81 8350 3003,enrique.moreno@portosinternational.com,2019-02-20
